Country,CountryID,Continent,Adolescent fertility rate (%),Adult literacy rate (%),Gross national income per capita (PPP international $),Net primary school enrolment ratio female (%),Net primary school enrolment ratio male (%),Population (in thousands) total
Afghanistan,1,1,151,28,,,,26088
Albania,2,2,27,98.7,6000,93,94,3172
Algeria,3,3,6,69.9,5940,94,96,33351
Andorra,4,2,,,,83,83,74
Angola,5,3,146,67.4,3890,49,51,16557
Antigua and Barbuda,6,4,,,15130,,,84
Argentina,7,5,62,97.2,11670,98,99,39134
Armenia,8,2,30,99.4,4950,84,80,3010
Australia,9,6,16,,33940,97,96,20530
Austria,10,2,14,,36040,98,97,8327
Azerbaijan,11,2,31,98.8,5430,83,86,8406
Bahamas,12,4,46,,,89,87,327
Bahrain,13,1,14,86.5,34310,98,98,739
Bangladesh,14,7,135,47.5,1230,90,87,155991
Barbados,15,4,51,,15150,96,97,293
Belarus,16,2,22,99.6,9700,88,90,9742
Belgium,17,2,5,,33860,97,97,10430
Belize,18,5,90,70.3,7080,97,97,282
Benin,19,3,108,34.7,1250,73,87,8760
Bermuda,20,4,,,,,,
Bhutan,21,7,62,,4000,79,79,649
Bolivia,22,5,97,86.7,3810,95,94,9354
Bosnia and Herzegovina,23,2,25,96.7,6780,,,3926
Botswana,24,3,51,81.2,11730,85,83,1858
Brazil,25,5,71,88.6,8700,95,93,189323
Brunei Darussalam,26,6,31,92.7,49900,94,94,382
Bulgaria,27,2,40,98.2,10270,92,93,7693
Burkina Faso,28,3,131,23.6,1130,42,52,14359
Burundi,29,3,30,59.3,320,73,76,8173
Cambodia,30,7,52,73.6,1550,89,91,14197
Cameroon,31,3,141,67.9,2060,65,74,18175
Canada,32,4,14,,36280,100,99,32577
Cape Verde,33,1,104,81.2,2590,87,88,519
Central African Republic,34,3,157,48.6,690,38,53,4265
Chad,35,3,193,25.7,1170,49,71,10468
Chile,36,5,49,95.7,11300,89,90,16465
China,37,7,3,90.9,4660,96,100,1328474
Colombia,38,5,92,92.8,6130,88,89,45558
Comoros,39,3,66,,1140,50,60,818
"Congo, Dem. Rep.",40,3,125,67.2,270,47,60
"Congo, Rep.",41,3,132,84.4,2420,52,58
Cook Islands,42,6,,,,75,73,14
Costa Rica,43,5,77,94.9,9220,88,87,4399
Cote d'Ivoire,44,3,132,48.7,1580,49,61,18914
Croatia,45,2,14,98.1,13850,90,91,4556
Cuba,46,5,47,99.8,,97,96,11267
Cyprus,47,2,5,96.8,25060,99,99,846
Czech Republic,48,2,11,,20920,94,91,10189
Denmark,49,2,6,,36190,96,95,5430
Djibouti,50,1,27,,2180,34,42,819
Dominica,51,5,,,7870,79,75,68
Dominican Republic,52,5,118,87,5550,78,76,9615
Ecuador,53,5,100,91,6810,97,96,13202
Egypt,54,1,48,71.4,4940,94,98,74166
El Salvador,55,5,104,74.1,5610,94,94,6762
Equatorial Guinea,56,3,128,87,16620,83,91,496
Eritrea,57,3,85,,680,43,50,4692
Estonia,58,2,21,99.8,18090,94,95,1340
Ethiopia,59,3,109,35.9,630,68,74,81021
Fiji,60,6,35,,4450,91,91,833
Finland,61,2,11,,33170,97,97,5261
France,62,2,8,,32240,99,98,61330
French Polynesia,63,6,,,,,,
Gabon,64,3,144,83.8,11180,88,88,1311
Gambia,65,3,167,,1110,64,59,1663
Georgia,66,2,47,,3880,91,88,4433
Germany,67,2,11,,32680,98,98,82641
Ghana,68,3,74,57.9,1240,71,73,23008
Greece,69,2,11,96,30870,99,100,11123
Grenada,70,5,53,,8770,83,84,106
Guatemala,71,5,120,69.1,5120,92,96,13029
Guinea,72,3,153,29.5,1130,66,77,9181
Guinea-Bissau,73,3,,,460,37,53,1646
Guyana,74,5,90,,3410,89,89,739
Haiti,75,5,69,,1070,22,21,9446
Honduras,76,5,108,80,3420,97,96,6969
"Hong Kong, China",77,6,,,,,
Hungary,78,2,21,,16970,88,89,10058
Iceland,79,2,16,,33740,97,98,298
India,80,7,97,61,2460,87,90,1151751
Indonesia,81,6,54,90.4,3310,94,97,228864
Iran (Islamic Republic of),82,1,35,82.4,9800,100,91,70270
Iraq,83,1,17,74.1,,82,95,28506
Ireland,84,2,19,,34730,95,94,4221
Israel,85,1,15,,23840,97,96,6810
Italy,86,2,7,98.4,28970,98,99,58779
Jamaica,87,5,65,79.9,7050,90,90,2699
Japan,88,6,6,,32840,100,100,127953
Jordan,89,1,30,91.1,4820,90,89,5729
Kazakhstan,90,2,26,99.5,8700,90,90,15314
Kenya,91,3,116,73.6,1470,76,75,36553
Kiribati,92,6,,,6230,98,96,94
"Korea, Dem. Rep.",93,6,0,,,,
"Korea, Rep.",94,6,2,,22990,93,100
Kuwait,95,1,15,93.3,48310,83,84,2779
Kyrgyzstan,96,2,27,98.7,1790,85,86,5259
Lao People's Democratic Republic,97,6,110,68.7,1740,81,86,5759
Latvia,98,2,16,99.7,14840,92,89,2289
Lebanon,99,3,18,,9600,82,82,4055
Lesotho,100,3,98,82.2,1810,74,71,1995
Liberia,101,3,,60,260,39,40,3579
Libyan Arab Jamahiriya,102,1,7,85,11630,91,95,6039
Lithuania,103,2,19,99.6,14550,89,90,3408
Luxembourg,104,2,11,,60870,98,96,461
"Macao, China",105,6,,,,,
Macedonia,106,2,23,96.1,7850,92,92,2036
Madagascar,107,3,154,70.7,870,96,96,19159
Malawi,108,3,160,64.1,690,94,88,13571
Malaysia,109,6,12,88.7,12160,100,100,26114
Maldives,110,7,8,96.3,4740,97,97,300
Mali,111,3,192,24,1000,54,67,11968
Malta,112,1,17,87.9,20990,91,92,405
Marshall Islands,113,6,,,8040,66,67,58
Mauritania,114,3,88,51.2,1970,82,78,3044
Mauritius,115,3,36,84.3,10640,96,94,1252
Mexico,116,4,94,91.6,11990,97,98,105342
Micronesia (Federated States of),117,6,44,,6070,,,111
Moldova,118,2,29,99,2660,88,88,3833
Monaco,119,2,,,,,,33
Mongolia,120,6,28,97.8,2810,93,90,2605
Montenegro,121,2,16,,8930,,,601
Morocco,122,1,35,52.3,3860,85,91,30853
Mozambique,123,3,185,38.7,660,73,79,20971
Myanmar,124,6,29,89.9,510,100,99,48379
Namibia,125,3,88,85,4770,79,74,2047
Nauru,126,6,,,,,,10
Nepal,127,7,106,48.6,1010,74,84,27641
Netherlands,128,2,7,,37940,97,99,16379
Netherlands Antilles,129,5,,,,,,
New Caledonia,130,6,,,,,,
New Zealand,131,6,27,,25750,99,99,4140
Nicaragua,132,5,119,76.7,2720,90,90,5532
Niger,133,3,199,28.7,630,37,50,13737
Nigeria,134,3,126,69,1410,59,68,144720
Niue,135,6,,,,98,99,2
Norway,136,2,8,,50070,98,98,4669
Oman,137,1,11,81.4,19740,75,73,2546
Pakistan,138,7,24,49.9,2410,57,73,160943
Palau,139,6,,,14340,94,98,20
Panama,140,5,84,91.9,8690,98,99,3288
Papua New Guinea,141,6,77,57.3,1630,,,6202
Paraguay,142,5,65,93.2,4040,95,94,6016
Peru,143,5,59,87.9,6490,97,96,27589
Philippines,144,6,55,92.6,3430,92,90,86264
Poland,145,2,14,,14250,96,96,38140
Portugal,146,2,19,93.9,19960,98,98,10579
Puerto Rico,147,5,,,,,,
Qatar,148,1,19,89,,94,93,821
Romania,149,2,33,97.3,10150,93,93,21532
Russia,150,2,28,99.4,12740,91,91,143221
Rwanda,151,3,44,64.9,730,81,76,9464
Saint Kitts and Nevis,152,5,,,12440,78,64,50
Saint Lucia,153,5,51,,8500,97,99,163
Saint Vincent and the Grenadines,154,5,71,,6220,88,92,120
Samoa,155,6,45,98.6,5090,91,90,185
San Marino,156,2,,,,,,31
Sao Tome and Principe,157,3,91,84.9,1490,98,97,155
Saudi Arabia,158,1,15,82.9,22300,87,87,24175
Senegal,159,3,100,39.3,1560,70,71,12072
Serbia,160,2,24,,9320,,,9851
Seychelles,161,3,,91.8,14360,100,99,86
Sierra Leone,162,3,178,34.8,610,36,50,5743
Singapore,163,6,7,92.5,43300,77,77,4382
Slovakia,164,2,21,,17060,92,92,5388
Slovenia,165,2,6,99.7,23970,95,96,2001
Solomon Islands,166,6,72,,1850,61,62,484
Somalia,167,3,35,,,6,11,8445
South Africa,168,3,65,82.4,8900,88,88,48282
Spain,169,2,10,97.2,28200,99,100,43887
Sri Lanka,170,7,29,90.7,3730,100,99,19207
Sudan,171,3,51,60.9,1780,37,45,37707
Suriname,172,5,62,89.6,7720,98,95,455
Swaziland,173,3,73,79.6,4700,79,78,1134
Sweden,174,2,7,,34310,95,95,9078
Switzerland,175,2,5,,40840,89,89,7455
Syria,176,1,58,80.8,4110,92,97,19408
Taiwan,177,6,,,,,,
Tajikistan,178,2,57,99.5,1560,95,99,6640
Tanzania,179,3,139,69.4,980,97,98,39459
Thailand,180,6,70,92.6,7440,94,94,63444
Timor-Leste,181,6,49,,5100,67,70,1114
Togo,182,3,89,53.2,770,75,86,6410
Tonga,183,6,17,98.9,5470,94,97,100
Trinidad and Tobago,184,5,35,98.5,16800,85,85,1328
Tunisia,185,1,8,74.3,6490,97,96,10215
Turkey,186,2,51,87.4,8410,89,93,73922
Turkmenistan,187,2,29,98.8,3990,,,4899
Tuvalu,188,6,,,,,,10
Uganda,189,3,159,68.1,880,,,29899
Ukraine,190,2,29,99.4,6110,90,90,46557
United Arab Emirates,191,1,37,88.5,31190,88,88,4248
United Kingdom,192,2,27,,33650,99,98,60512
United States of America,193,4,43,,44070,93,91,302841
Uruguay,194,5,64,96.8,9940,100,100,3331
Uzbekistan,195,2,40,,2190,78,79,26981
Vanuatu,196,6,92,75.5,3480,86,88,221
Venezuela,197,5,81,93,10970,91,91,27191
Vietnam,198,6,25,90.3,2310,91,96,86206
West Bank and Gaza,199,1,,,,,,
Yemen,200,1,83,54.1,2090,65,85,21732
Zambia,201,3,161,68,1140,94,90,11696
Zimbabwe,202,3,101,89.5,,88,87,13228
